# Source of truth for which script a glyph belongs to.
# script: simplified  = has a distinct traditional counterpart (国 <- 國)
#         traditional = has a distinct simplified counterpart  (國 -> 国)
# Anything absent from this file is `both` — unchanged between the scripts (人, 大, 一),
# which is the majority of the dictionary.
#
# counterpart is informational: the opposite-script form(s) Unihan records.
# Generated by scripts/build-script-classification.mjs — do not hand-edit; add an
# OVERRIDE there instead so a regeneration keeps the decision.
glyph	codepoint	script	counterpart	override
万	U+4E07	simplified	萬	
与	U+4E0E	simplified	與	
丑	U+4E11	simplified	醜	
专	U+4E13	simplified	專	
业	U+4E1A	simplified	業	
丛	U+4E1B	simplified	叢	
东	U+4E1C	simplified	東	
丝	U+4E1D	simplified	絲	
丢	U+4E22	simplified	丟	
两	U+4E24	simplified	兩	
严	U+4E25	simplified	嚴	
丧	U+4E27	simplified	喪	
个	U+4E2A	simplified	個	
丰	U+4E30	simplified	豐	
临	U+4E34	simplified	臨	
为	U+4E3A	simplified	為爲	
丽	U+4E3D	simplified	麗	
举	U+4E3E	simplified	舉	
么	U+4E48	simplified	幺麼麽	
义	U+4E49	simplified	義	
乌	U+4E4C	simplified	烏	
乐	U+4E50	simplified	樂	
乔	U+4E54	simplified	喬	
习	U+4E60	simplified	習	
乡	U+4E61	simplified	鄉	
书	U+4E66	simplified	書	
买	U+4E70	simplified	買	
乱	U+4E71	simplified	亂	
了	U+4E86	simplified	瞭	
争	U+4E89	simplified	爭	
于	U+4E8E	simplified	於	
亏	U+4E8F	simplified	虧	
云	U+4E91	simplified	雲	
亚	U+4E9A	simplified	亞	
产	U+4EA7	simplified	產産	
亩	U+4EA9	simplified	畝	
亲	U+4EB2	simplified	親	
亵	U+4EB5	simplified	褻	
亿	U+4EBF	simplified	億	
仅	U+4EC5	simplified	僅	
仆	U+4EC6	simplified	僕	
从	U+4ECE	simplified	從	
仑	U+4ED1	simplified	侖	
仓	U+4ED3	simplified	倉	
仪	U+4EEA	simplified	儀	
们	U+4EEC	simplified	們	
价	U+4EF7	simplified	價	
众	U+4F17	simplified	眾衆	
优	U+4F18	simplified	優	
伙	U+4F19	simplified	夥	
会	U+4F1A	simplified	會	
伛	U+4F1B	simplified	傴	
伞	U+4F1E	simplified	傘	
伟	U+4F1F	simplified	偉	
传	U+4F20	simplified	傳	
